,pid,itemId,listingId,brand,title,badge,stock,highlights,isSponsored,mrp,price,rating
0,MOBGTAGPAQNVFZZY,ITMBF14EF54F645D,LSTMOBGTAGPAQNVFZZYO7HQ2L,Apple,"Apple iPhone 15 (Blue, 128 GB)",Bestseller,IN_STOCK,"['128 GB ROM', '15.49 cm (6.1 inch) Super Retina XDR Display', '48MP + 12MP | 12MP Front Camera', 'A16 Bionic Chip, 6 Core Processor Processor']",False,79600,69999,"{'average': 4.6, 'count': 49159, 'reviewCount': 2562, 'breakup': [2285, 697, 1486, 6394, 38297]}"
1,MOBGTAGPDTKHHHZU,ITM825E4AD0B80CA,LSTMOBGTAGPDTKHHHZUTQZRMS,Apple,"Apple iPhone 15 (Yellow, 128 GB)",,IN_STOCK,"['128 GB ROM', '15.49 cm (6.1 inch) Super Retina XDR Display', '48MP + 12MP | 12MP Front Camera', 'A16 Bionic Chip, 6 Core Processor Processor']",False,79600,69999,"{'average': 4.6, 'count': 49159, 'reviewCount': 2562, 'breakup': [2285, 697, 1486, 6394, 38297]}"
2,MOBGTAGPVSMQYGZX,ITM94BB31F2AF05A,LSTMOBGTAGPVSMQYGZXNTFFPK,Apple,"Apple iPhone 15 Plus (Yellow, 128 GB)",,IN_STOCK,"['128 GB ROM', '17.02 cm (6.7 inch) Super Retina XDR Display', '48MP + 12MP | 12MP Front Camera', 'A16 Bionic Chip, 6 Core Processor Processor']",False,89600,75999,"{'average': 4.6, 'count': 8790, 'reviewCount': 692, 'breakup': [380, 112, 257, 1179, 6862]}"
3,MOBGHWFHUYWGB5F2,ITMAC8385391B02B,LSTMOBGHWFHUYWGB5F2XIJVA7,Apple,"Apple iPhone 14 Plus (Blue, 128 GB)",,IN_STOCK,"['128 GB ROM', '17.02 cm (6.7 inch) Super Retina XDR Display', '12MP + 12MP | 12MP Front Camera', 'A15 Bionic Chip, 6 Core Processor Processor']",False,79600,58999,"{'average': 4.6, 'count': 80132, 'reviewCount': 4435, 'breakup': [3409, 1039, 2248, 10792, 62644]}"
4,MOBGTAGPTB3VS24W,ITM6AC6485515AE4,LSTMOBGTAGPTB3VS24WVZNSC6,Apple,"Apple iPhone 15 (Black, 128 GB)",Bestseller,IN_STOCK,"['128 GB ROM', '15.49 cm (6.1 inch) Super Retina XDR Display', '48MP + 12MP | 12MP Front Camera', 'A16 Bionic Chip, 6 Core Processor Processor']",False,79600,69999,"{'average': 4.6, 'count': 49159, 'reviewCount': 2562, 'breakup': [2285, 697, 1486, 6394, 38297]}"
5,MOBGTAGPE4F2HAW7,ITM4022C14383050,LSTMOBGTAGPE4F2HAW7NDYSPY,Apple,"Apple iPhone 15 Plus (Blue, 128 GB)",,IN_STOCK,"['128 GB ROM', '17.02 cm (6.7 inch) Super Retina XDR Display', '48MP + 12MP | 12MP Front Camera', 'A16 Bionic Chip, 6 Core Processor Processor']",False,89600,75999,"{'average': 4.6, 'count': 8790, 'reviewCount': 692, 'breakup': [380, 112, 257, 1179, 6862]}"
6,MOBGTAGPNRQA7CS3,ITME3A53984760FB,LSTMOBGTAGPNRQA7CS3L7XK7L,Apple,"Apple iPhone 15 Plus (Black, 128 GB)",,IN_STOCK,"['128 GB ROM', '17.02 cm (6.7 inch) Super Retina XDR Display', '48MP + 12MP | 12MP Front Camera', 'A16 Bionic Chip, 6 Core Processor Processor']",False,89600,75999,"{'average': 4.6, 'count': 8790, 'reviewCount': 692, 'breakup': [380, 112, 257, 1179, 6862]}"
7,MOBGTAGPJVGHTAYC,ITMAA50ABB5E6C3B,LSTMOBGTAGPJVGHTAYCTGIMN2,Apple,"Apple iPhone 15 Plus (Green, 128 GB)",,IN_STOCK,"['128 GB ROM', '17.02 cm (6.7 inch) Super Retina XDR Display', '48MP + 12MP | 12MP Front Camera', 'A16 Bionic Chip, 6 Core Processor Processor']",False,89600,75999,"{'average': 4.6, 'count': 8790, 'reviewCount': 692, 'breakup': [380, 112, 257, 1179, 6862]}"
8,MOBGHWFH3JX6NWWY,ITM4199EA6BCD38B,LSTMOBGHWFH3JX6NWWYRH38NG,Apple,"Apple iPhone 14 Plus (Midnight, 128 GB)",,IN_STOCK,"['128 GB ROM', '17.02 cm (6.7 inch) Super Retina XDR Display', '12MP + 12MP | 12MP Front Camera', 'A15 Bionic Chip, 6 Core Processor Processor']",False,79600,58999,"{'average': 4.6, 'count': 80132, 'reviewCount': 4435, 'breakup': [3409, 1039, 2248, 10792, 62644]}"
9,MOBFWBYZ8DNJNY7N,ITM5778AD0D0D255,LSTMOBFWBYZ8DNJNY7NMWAWOJ,Apple,"Apple iPhone 12 (Blue, 64 GB)",,IN_STOCK,"['64 GB ROM', '15.49 cm (6.1 inch) Super Retina XDR Display', '12MP + 12MP | 12MP Front Camera', 'A14 Bionic Chip with Next Generation Neural Engine Processor', 'Ceramic Shield', 'Industry-leading IP68 Water Resistance', 'All Screen OLED Display', '12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording']",False,49900,37999,"{'average': 4.6, 'count': 210928, 'reviewCount': 13897, 'breakup': [7504, 2432, 6320, 27690, 166982]}"
